# Estación meteorológica Xalapa-Enríquez, México, WMO_ID=76688, selección desde 01.01.2014 hasta 03.10.2014, todos los días
# Codificación: UTF-8
# Los datos han sido presentados por el sitio web "Real pronóstico", rp5.ru 
# Por favor, al utilizar los datos mencione este sitio.
# Determinación de los parámetros meteorológicos en el enlace: http://dev.rp5.ru.local/archive.php?wmo_id=27612&lang=en http://rp5.ru/archive.php?wmo_id=76688&lang=es
#
"Hora local en Xalapa-Enríquez";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"26.08.2014 19:00";"17.8";"649.9";"762.3";"0.3";"88";"Viento procedente del oeste";"2";"";"";"";" ";"";"";"17.8";"28.2";"";"";"";"";"";"";"15.7";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"26.08.2014 16:00";"26.0";"649.6";"758.7";"-0.9";"61";"Viento procedente del estesureste";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.0";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"26.08.2014 13:00";"25.6";"650.5";"760.0";"";"55";"Viento procedente del sudeste";"2";"";"";"";" ";"";"";"24.0";"26.1";"";"";"";"";"";"";"15.8";"";"";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"23.08.2014 01:00";"16.2";"652.1";"765.7";"-0.1";"95";"Viento procedente del oeste";"1";"";"";"";" ";"";"";"14.5";"24.8";"";"";"";"";"";"";"15.4";"Sin precipitación";"12";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"22.08.2014 22:00";"17.6";"652.2";"765.1";"1.6";"96";"Viento procedente del oeste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.0";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"22.08.2014 19:00";"20.9";"650.6";"761.9";"";"86";"Viento procedente del estesureste";"1";"";"";"";" ";"";"";"14.5";"24.8";"";"";"";"";"";"";"18.5";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"22.08.2014 13:00";"20.1";"652.5";"764.4";"0.0";"85";"Viento procedente del este";"1";"";"";"";" ";"";"";"14.5";"24.3";"";"";"";"";"";"";"17.4";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"22.08.2014 10:00";"21.8";"652.5";"763.7";"0.9";"62";"Viento procedente del sur-oeste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.2";"0.2";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"22.08.2014 07:00";"14.5";"651.6";"765.7";"-0.4";"98";"Viento procedente del sur-oeste";"1";"";"";"";" ";"";"";"14.5";"26.3";"";"";"";"";"";"";"14.2";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"22.08.2014 04:00";"15.2";"652.0";"765.9";"-1.2";"88";"Calma, escampado";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.2";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"22.08.2014 01:00";"16.7";"653.2";"766.7";"0.2";"95";"Viento procedente del sudeste";"1";"";"";"";" ";"";"";"14.5";"26.3";"";"";"";"";"";"";"15.9";"Sin precipitación";"12";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"21.08.2014 22:00";"19.2";"653.0";"765.4";"1.1";"98";"Viento procedente del estesureste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.9";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"21.08.2014 19:00";"24.0";"651.9";"762.1";"0.0";"63";"Viento procedente del sursureste";"2";"";"";"";" ";"";"";"14.5";"26.3";"";"";"";"";"";"";"16.5";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"21.08.2014 16:00";"23.6";"651.9";"762.3";"-0.9";"65";"Viento procedente del este";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.5";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"21.08.2014 13:00";"25.2";"652.8";"762.7";"-0.1";"55";"Viento procedente del sur";"2";"";"";"";" ";"";"";"14.5";"25.2";"";"";"";"";"";"";"15.6";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"21.08.2014 10:00";"21.2";"652.9";"764.5";"0.7";"69";"Viento procedente del sursureste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.2";"0.2";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"21.08.2014 07:00";"15.8";"652.2";"765.9";"0.2";"99";"Viento procedente del sur-oeste";"2";"";"";"";" ";"";"";"14.5";"28.2";"";"";"";"";"";"";"15.6";"3.0";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"21.08.2014 04:00";"15.1";"652.0";"766.0";"0.1";"93";"Viento procedente del sur";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.0";"10.0";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"21.08.2014 01:00";"17.7";"651.9";"764.7";"0.5";"97";"Calma, escampado";"0";"";"";"";" ";"";"";"16.0";"28.2";"";"";"";"";"";"";"17.2";"Sin precipitación";"12";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"20.08.2014 22:00";"18.8";"651.4";"763.6";"0.9";"97";"Viento procedente del este";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.3";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"20.08.2014 19:00";"22.1";"650.5";"761.3";"";"79";"Viento procedente del estesureste";"2";"";"";"";" ";"";"";"16.0";"28.2";"";"";"";"";"";"";"18.3";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"20.08.2014 13:00";"26.5";"651.4";"760.5";"0.3";"56";"Viento procedente del sursureste";"2";"";"";"";" ";"";"";"16.0";"27.0";"";"";"";"";"";"";"17.0";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"20.08.2014 10:00";"25.1";"651.1";"760.7";"0.6";"";"Viento procedente del sudeste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"20.08.2014 07:00";"16.1";"650.5";"763.7";"1.2";"97";"Viento procedente del oeste";"2";"";"";"";" ";"";"";"16.1";"28.0";"";"";"";"";"";"";"15.7";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"20.08.2014 04:00";"17.6";"649.3";"761.7";"-1.2";"98";"Viento procedente del sudeste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.2";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"20.08.2014 01:00";"18.2";"650.5";"762.9";"0.2";"97";"Viento procedente del sur";"0";"";"";"";" ";"";"";"15.8";"28.0";"";"";"";"";"";"";"17.7";"Sin precipitación";"12";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"19.08.2014 22:00";"19.9";"650.3";"761.9";"1.6";"95";"Viento procedente del sursureste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"19.1";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"19.08.2014 19:00";"22.0";"648.7";"759.3";"-0.7";"85";"Viento procedente del estesureste";"2";"";"";"";" ";"";"";"15.8";"28.0";"";"";"";"";"";"";"19.3";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"19.08.2014 16:00";"26.2";"649.4";"758.4";"-1.1";"59";"Viento procedente del sudeste";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.5";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"19.08.2014 13:00";"25.2";"650.5";"760.1";"-0.1";"61";"Viento procedente del sudeste";"2";"";"";"";" ";"";"";"15.8";"26.2";"";"";"";"";"";"";"17.1";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"19.08.2014 10:00";"22.6";"650.6";"761.2";"0.9";"66";"Viento procedente del este";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.0";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"19.08.2014 07:00";"16.1";"649.7";"762.9";"-0.4";"97";"Viento procedente del oeste";"1";"";"";"";" ";"";"";"16.1";"24.6";"";"";"";"";"";"";"15.7";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"19.08.2014 04:00";"17.5";"650.1";"762.7";"-0.9";"92";"Calma, escampado";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.1";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"19.08.2014 01:00";"17.8";"651.0";"763.6";"0.4";"95";"Viento procedente del sursuroeste";"1";"";"";"";" ";"";"";"15.5";"24.6";"";"";"";"";"";"";"17.0";"Sin precipitación";"12";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"18.08.2014 22:00";"18.2";"650.6";"763.0";"0.7";"92";"Viento procedente del sursuroeste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.9";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"18.08.2014 19:00";"21.2";"649.9";"760.9";"-0.2";"78";"Viento procedente del sur";"1";"";"";"";" ";"";"";"15.5";"24.6";"";"";"";"";"";"";"17.1";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"18.08.2014 16:00";"23.3";"650.1";"760.3";"-1.6";"70";"Viento procedente del sudeste";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.4";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"18.08.2014 13:00";"20.4";"651.7";"763.3";"-0.1";"91";"Viento procedente del oeste";"1";"";"";"";" ";"";"";"15.5";"21.3";"";"";"";"";"";"";"18.9";"1.0";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"18.08.2014 10:00";"19.3";"651.8";"764.0";"1.4";"86";"Viento procedente del sur-oeste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.9";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"18.08.2014 07:00";"15.5";"650.4";"763.9";"0.0";"98";"Viento procedente del oeste";"2";"";"";"";" ";"";"";"15.5";"27.5";"";"";"";"";"";"";"15.2";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"18.08.2014 04:00";"16.1";"650.4";"763.6";"-1.0";"99";"Viento procedente del oeste";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.9";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"18.08.2014 01:00";"17.0";"651.4";"764.4";"0.3";"98";"Viento procedente del sur-oeste";"1";"";"";"";" ";"";"";"14.5";"27.5";"";"";"";"";"";"";"16.7";"Sin precipitación";"12";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"17.08.2014 22:00";"18.6";"651.1";"763.5";"0.9";"98";"Viento procedente del oeste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.2";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"17.08.2014 19:00";"20.3";"650.2";"761.8";"-0.4";"93";"Viento procedente del este";"2";"";"";"";" ";"";"";"14.5";"27.5";"";"";"";"";"";"";"19.2";"0.2";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"17.08.2014 16:00";"25.7";"650.6";"760.0";"-1.1";"55";"Viento procedente del sudeste";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.9";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"17.08.2014 13:00";"25.4";"651.7";"761.5";"0.1";"55";"Viento procedente del sudeste";"2";"";"";"";" ";"";"";"14.5";"27.5";"";"";"";"";"";"";"15.8";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"17.08.2014 10:00";"22.3";"651.6";"762.5";"0.8";"61";"Viento procedente del oeste";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.3";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"17.08.2014 07:00";"14.9";"650.8";"764.6";"-0.6";"97";"Viento procedente del oeste";"2";"";"";"";" ";"";"";"14.5";"28.3";"";"";"";"";"";"";"14.5";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"17.08.2014 04:00";"15.3";"651.4";"765.3";"-0.9";"96";"Viento procedente del oestesuroeste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.6";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"17.08.2014 01:00";"17.4";"652.3";"765.4";"0.4";"93";"Viento procedente del oestesuroeste";"0";"";"";"";" ";"";"";"15.9";"28.3";"";"";"";"";"";"";"16.2";"Sin precipitación";"12";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"16.08.2014 22:00";"19.3";"651.9";"764.1";"1.1";"96";"Viento procedente del sursureste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.7";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"16.08.2014 19:00";"21.7";"650.8";"761.9";"-0.3";"86";"Viento procedente del estesureste";"3";"";"";"";" ";"";"";"15.9";"28.3";"";"";"";"";"";"";"19.3";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"16.08.2014 16:00";"28.2";"651.1";"759.5";"-1.1";"54";"Viento procedente del sudeste";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.1";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"16.08.2014 13:00";"25.9";"652.2";"761.8";"-0.4";"53";"Viento procedente del sursureste";"3";"";"";"";" ";"";"";"15.9";"26.3";"";"";"";"";"";"";"15.5";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"16.08.2014 10:00";"22.1";"652.6";"763.9";"1.6";"65";"Viento procedente del sursuroeste";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.1";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"16.08.2014 07:00";"16.4";"651.0";"764.2";"-0.3";"96";"Calma, escampado";"0";"";"";"";" ";"";"";"16.4";"27.2";"";"";"";"";"";"";"15.8";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"16.08.2014 04:00";"16.9";"651.3";"764.4";"-0.5";"98";"Viento procedente del oeste";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.5";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"16.08.2014 01:00";"17.8";"651.8";"764.5";"0.1";"99";"Viento procedente del oestesuroeste";"1";"";"";"";" ";"";"";"15.8";"27.2";"";"";"";"";"";"";"17.6";"Sin precipitación";"12";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"15.08.2014 22:00";"18.6";"651.7";"764.1";"1.3";"98";"Viento procedente del sur-oeste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.2";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"15.08.2014 19:00";"21.8";"650.4";"761.3";"-0.4";"84";"Viento procedente del estesureste";"2";"";"";"";" ";"";"";"15.8";"27.2";"";"";"";"";"";"";"18.9";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"15.08.2014 16:00";"26.1";"650.8";"760.0";"-0.6";"60";"Viento procedente del este";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.6";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"15.08.2014 13:00";"26.2";"651.4";"760.8";"-0.5";"60";"Viento procedente del este";"3";"";"";"";" ";"";"";"15.8";"26.9";"";"";"";"";"";"";"17.7";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"15.08.2014 10:00";"23.5";"651.9";"762.4";"0.8";"61";"Viento procedente del estesureste";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.4";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"15.08.2014 07:00";"16.0";"651.1";"764.5";"-0.6";"96";"Viento procedente del este";"2";"";"";"";" ";"";"";"15.8";"26.8";"";"";"";"";"";"";"15.4";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"15.08.2014 04:00";"16.7";"651.7";"765.0";"-0.6";"99";"Viento procedente del oestesuroeste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.6";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"15.08.2014 01:00";"18.3";"652.3";"765.1";"0.6";"95";"Viento procedente del estenoreste";"1";"";"";"";" ";"";"";"15.2";"26.8";"";"";"";"";"";"";"17.5";"Sin precipitación";"12";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"14.08.2014 22:00";"19.9";"651.7";"763.6";"1.5";"95";"Viento procedente del sudeste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"19.0";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"14.08.2014 19:00";"22.6";"650.2";"760.7";"";"77";"Viento procedente del sur";"1";"";"";"";" ";"";"";"15.2";"26.8";"";"";"";"";"";"";"18.4";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"14.08.2014 13:00";"25.4";"652.3";"762.0";"-0.3";"55";"Viento procedente del este";"2";"";"";"";" ";"";"";"15.2";"25.9";"";"";"";"";"";"";"15.6";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"14.08.2014 10:00";"22.0";"652.6";"763.8";"1.5";"68";"Viento procedente del sursureste";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.8";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"14.08.2014 07:00";"15.9";"651.1";"764.6";"0.2";"95";"Viento procedente del oeste";"2";"";"";"";" ";"";"";"15.2";"";"";"";"";"";"";"";"15.1";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"14.08.2014 04:00";"15.3";"650.9";"764.6";"-1.6";"98";"Viento procedente del oeste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.0";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"14.08.2014 01:00";"16.6";"652.5";"765.9";"0.4";"94";"Viento procedente del sur-oeste";"1";"";"";"";" ";"";"";"14.8";"26.7";"";"";"";"";"";"";"15.7";"Sin precipitación";"12";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"13.08.2014 22:00";"17.5";"652.1";"765.1";"0.6";"98";"Viento procedente del oestesuroeste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.2";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"13.08.2014 19:00";"18.0";"651.5";"764.2";"0.4";"96";"Viento procedente del sur-oeste";"1";"";"";"";" ";"";"";"14.8";"26.7";"";"";"";"";"";"";"17.4";"8.0";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"13.08.2014 16:00";"18.9";"651.1";"763.3";"-0.9";"87";"Viento procedente del nornoreste";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.7";"0.2";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"13.08.2014 13:00";"24.6";"652.0";"762.0";"";"62";"Viento procedente del estesureste";"3";"";"";"";" ";"";"";"14.8";"26.5";"";"";"";"";"";"";"16.8";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"12.08.2014 04:00";"17.0";"652.0";"765.1";"-0.3";"94";"Viento procedente del oestesuroeste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.1";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"12.08.2014 01:00";"16.7";"652.3";"765.7";"0.4";"96";"Viento procedente del oeste";"1";"";"";"";" ";"";"";"16.5";"26.5";"";"";"";"";"";"";"16.1";"Sin precipitación";"12";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"11.08.2014 22:00";"18.0";"651.9";"764.6";"0.8";"88";"Calma, escampado";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.0";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"11.08.2014 19:00";"18.9";"651.1";"763.3";"0.5";"87";"Viento procedente del estenoreste";"1";"";"";"";" ";"";"";"16.5";"26.5";"";"";"";"";"";"";"16.6";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"11.08.2014 16:00";"24.2";"650.6";"760.6";"-1.1";"70";"Viento procedente del estesureste";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.3";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"11.08.2014 13:00";"25.5";"651.7";"761.4";"-0.5";"62";"Viento procedente del oestenoroeste";"1";"";"";"";" ";"";"";"16.5";"25.5";"";"";"";"";"";"";"17.6";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"11.08.2014 10:00";"20.6";"652.2";"763.9";"1.6";"81";"Viento procedente del estenoreste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.2";"0.2";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"11.08.2014 07:00";"16.6";"650.6";"763.7";"-0.2";"97";"Viento procedente del nornoreste";"1";"";"";"";" ";"";"";"16.5";"28.4";"";"";"";"";"";"";"16.1";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"11.08.2014 04:00";"17.2";"650.8";"763.6";"-1.0";"98";"Viento procedente del oeste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.8";"0.4";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"11.08.2014 01:00";"17.6";"651.8";"764.7";"0.2";"93";"Viento procedente del oestesuroeste";"1";"";"";"";" ";"";"";"15.1";"28.4";"";"";"";"";"";"";"16.5";"Sin precipitación";"12";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"10.08.2014 22:00";"18.7";"651.6";"764.0";"1.5";"96";"Viento procedente del este";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.1";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"10.08.2014 19:00";"21.6";"650.1";"761.0";"-0.5";"86";"Viento procedente del estesureste";"3";"";"";"";" ";"";"";"15.1";"28.4";"";"";"";"";"";"";"19.1";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"10.08.2014 16:00";"28.0";"650.6";"759.1";"-1.4";"53";"Viento procedente del estesureste";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.5";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"10.08.2014 13:00";"27.0";"652.0";"761.0";"0.1";"58";"Viento procedente del estesureste";"2";"";"";"";" ";"";"";"15.1";"27.0";"";"";"";"";"";"";"17.9";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"10.08.2014 10:00";"21.4";"651.9";"763.2";"1.1";"81";"Viento procedente del sur-oeste";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.9";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"10.08.2014 07:00";"15.1";"650.8";"764.5";"0.1";"94";"Viento procedente del oestesuroeste";"1";"";"";"";" ";"";"";"15.1";"27.5";"";"";"";"";"";"";"14.2";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"10.08.2014 04:00";"16.3";"650.7";"763.9";"-1.2";"96";"Viento procedente del oeste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.6";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"10.08.2014 01:00";"18.3";"651.9";"764.5";"";"93";"Viento procedente del oeste";"2";"";"";"";" ";"";"";"15.8";"27.5";"";"";"";"";"";"";"17.2";"Sin precipitación";"12";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"09.08.2014 19:00";"22.7";"649.7";"760.2";"-0.8";"83";"Viento procedente del sudeste";"2";"";"";"";" ";"";"";"15.8";"27.5";"";"";"";"";"";"";"19.6";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"09.08.2014 16:00";"26.6";"650.5";"759.4";"-1.0";"56";"Viento procedente del sursureste";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.1";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"09.08.2014 13:00";"26.5";"651.5";"760.7";"0.2";"52";"Viento procedente del estesureste";"3";"";"";"";" ";"";"";"15.8";"27.4";"";"";"";"";"";"";"15.8";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"09.08.2014 10:00";"23.8";"651.3";"761.5";"0.3";"53";"Viento procedente del noroeste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.6";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"09.08.2014 07:00";"16.1";"651.0";"764.3";"0.6";"96";"Viento procedente del sursuroeste";"1";"";"";"";" ";"";"";"15.8";"28.3";"";"";"";"";"";"";"15.4";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"09.08.2014 04:00";"17.0";"650.4";"763.3";"-0.8";"88";"Viento procedente del oeste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.9";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"09.08.2014 01:00";"19.6";"651.2";"763.2";"0.5";"73";"Viento procedente del noreste";"1";"";"";"";" ";"";"";"14.6";"28.3";"";"";"";"";"";"";"14.7";"Sin precipitación";"12";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
